Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
14 Pro Max,128,6.7,фиолетовый,6,,1,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,черный,6,,1,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,черный,6,,2,2796x1290,48+12+12,,114 099,123 999
14 Pro Max,128,6.7,черный,6,,1,2796x1290,48+12+12,,114 099,123 999
13 Pro Max,256,6.7,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12+12,,114 499,124 499
13 Pro,512,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,115 899,125 999
13 Pro,512,6.1,золотистый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,115 899,125 999
13 Pro,512,6.1,серебристый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,115 899,125 999
13 Pro,512,6.1,серый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12+12,,115 899,125 999
14 Pro,256,6.1,золотистый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,золотистый,6,,2,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,золотистый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,серебристый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,серебристый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,серебристый,6,,2,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,фиолетовый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,фиолетовый,6,,2,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,фиолетовый,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,черный,6,,1,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,черный,6,,2,2556x1179,48+12+12,,116 399,126 499
14 Pro,256,6.1,золотистый,6,,1,2556x1179,48+12+12,,120 999,131 499
14 Pro Max,256,6.7,золотистый,6,,2,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,золотистый,6,,,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,серебристый,6,,,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,серебристый,6,,2,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,фиолетовый,6,,2,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,фиолетовый,6,,1,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,фиолетовый,6,,1,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,фиолетовый,6,,,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,черный,6,,,2796x1290,48+12+12,,125 999,136 999
14 Pro Max,256,6.7,черный,6,,1,2796x1290,48+12+12,,125 999,136 999
